,available,free,total,used
0,3667349504,3667349504,17041244160,13373894656
1,3601108992,3601108992,17041244160,13440135168
2,3600367616,3600367616,17041244160,13440876544
3,3542855680,3542855680,17041244160,13498388480
4,3627884544,3627884544,17041244160,13413359616
5,3651452928,3651452928,17041244160,13389791232
6,3494559744,3494559744,17041244160,13546684416
7,3422793728,3422793728,17041244160,13618450432
8,3444166656,3444166656,17041244160,13597077504
9,3520413696,3520413696,17041244160,13520830464
10,3412205568,3412205568,17041244160,13629038592
11,3450081280,3450081280,17041244160,13591162880
12,3659952128,3659952128,17041244160,13381292032
13,3286798336,3286798336,17041244160,13754445824
14,3365695488,3365695488,17041244160,13675548672
15,3373617152,3373617152,17041244160,13667627008
16,3448369152,3448369152,17041244160,13592875008
17,3418083328,3418083328,17041244160,13623160832
18,3399086080,3399086080,17041244160,13642158080
19,3332718592,3332718592,17041244160,13708525568
20,3333832704,3333832704,17041244160,13707411456
21,3357745152,3357745152,17041244160,13683499008
22,3286671360,3286671360,17041244160,13754572800
23,3286671360,3286671360,17041244160,13754572800
24,3277463552,3277463552,17041244160,13763780608
25,3277516800,3277516800,17041244160,13763727360
26,3323252736,3323252736,17041244160,13717991424
27,3323064320,3323064320,17041244160,13718179840
28,3306573824,3306573824,17041244160,13734670336
29,3322630144,3322630144,17041244160,13718614016
30,3218825216,3218825216,17041244160,13822418944
31,3220066304,3220066304,17041244160,13821177856
32,3295211520,3295211520,17041244160,13746032640
33,3316977664,3316977664,17041244160,13724266496
34,3293900800,3293900800,17041244160,13747343360
35,3278970880,3278970880,17041244160,13762273280
36,3261255680,3261255680,17041244160,13779988480
37,3221409792,3221409792,17041244160,13819834368
38,3240525824,3240525824,17041244160,13800718336
39,3137564672,3137564672,17041244160,13903679488
40,3136593920,3136593920,17041244160,13904650240
41,3653038080,3653038080,17041244160,13388206080
42,3628777472,3628777472,17041244160,13412466688
43,3560054784,3560054784,17041244160,13481189376
44,3556622336,3556622336,17041244160,13484621824
45,3640381440,3640381440,17041244160,13400862720
46,3595960320,3595960320,17041244160,13445283840
47,3574833152,3574833152,17041244160,13466411008
48,3573059584,3573059584,17041244160,13468184576
49,3798200320,3798200320,17041244160,13243043840
50,3866824704,3866824704,17041244160,13174419456
51,3827601408,3827601408,17041244160,13213642752
52,3721408512,3721408512,17041244160,13319835648
53,3723755520,3723755520,17041244160,13317488640
54,3746107392,3746107392,17041244160,13295136768
55,3752693760,3752693760,17041244160,13288550400
56,3676270592,3676270592,17041244160,13364973568
57,3684331520,3684331520,17041244160,13356912640
58,4318408704,4318408704,17041244160,12722835456
59,4400353280,4400353280,17041244160,12640890880
60,4287885312,4287885312,17041244160,12753358848
61,4159569920,4159569920,17041244160,12881674240
62,4254584832,4254584832,17041244160,12786659328
63,3833442304,3833442304,17041244160,13207801856
64,3830915072,3830915072,17041244160,13210329088
65,3867742208,3867742208,17041244160,13173501952
66,3853049856,3853049856,17041244160,13188194304
67,3902541824,3902541824,17041244160,13138702336
68,3901792256,3901792256,17041244160,13139451904
69,4085575680,4085575680,17041244160,12955668480
70,4055969792,4055969792,17041244160,12985274368
71,4014870528,4014870528,17041244160,13026373632
72,4076261376,4076261376,17041244160,12964982784
73,4081696768,4081696768,17041244160,12959547392
74,4079685632,4079685632,17041244160,12961558528
75,4086599680,4086599680,17041244160,12954644480
76,4033384448,4033384448,17041244160,13007859712
77,4034134016,4034134016,17041244160,13007110144
78,4004671488,4004671488,17041244160,13036572672
79,4004712448,4004712448,17041244160,13036531712
80,3992223744,3992223744,17041244160,13049020416
81,3988566016,3988566016,17041244160,13052678144
82,3915452416,3915452416,17041244160,13125791744
83,3869720576,3869720576,17041244160,13171523584
84,3822944256,3822944256,17041244160,13218299904
85,3393445888,3393445888,17041244160,13647798272
86,3427880960,3427880960,17041244160,13613363200
